product_id,product_name,category,MAE,RMSE,MAPE_pct,RF_Accuracy_pct,Manual_Accuracy_pct,Improvement_pct
P001,Smartphone A,Mobile,185.1,253.7,9.47,90.53,84.75,5.78
P002,Laptop Pro,Computing,62.2,78.5,10.23,89.77,83.39,6.38
P003,Wireless Earbuds,Audio,279.8,359.2,8.21,91.79,90.26,1.53
P004,Tablet X,Computing,45.0,65.3,5.86,94.14,86.84,7.3
P005,Smart TV 4K,Display,13.6,18.8,3.93,96.07,91.88,4.19
P006,Gaming Console,Gaming,28.2,34.9,9.92,90.08,83.37,6.71
P007,Smartwatch,Wearable,242.8,337.2,14.63,85.37,75.14,10.23
P008,Power Bank,Accessories,274.2,344.4,7.92,92.08,84.48,7.6
